[0, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[1, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[2, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[3, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[4, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[5, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[6, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[7, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[8, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[9, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[10, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[11, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[12, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[13, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[14, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[15, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[16, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[17, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[18, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[19, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[20, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[21, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[22, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[23, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[24, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[25, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[26, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[27, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[28, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[29, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[30, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[31, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[32, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[33, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[34, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[35, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[36, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[37, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[38, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[39, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[40, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[41, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[42, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[43, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
[44, [0.1313659537133193, -0.4676800412833581, -0.46037973819947703, 0.5700540864390684, 0.4765576569311281]]
