[0, [0.35890186988645095, -0.8240377809227296, -0.3562838159976828, 0.01689548617606433, 0.25480888604786955]]
[1, [-0.45179809293685835, 0.45319202876016895, -0.4567121289168278, 0.6063875087450045, -0.11917922983954095]]
[2, [-0.6778935745571327, -0.4100963274225249, 0.11755189237253534, -0.5970475493525028, 0.04468870350006828]]
[3, [-0.6182543288985951, -0.2585210767891267, 0.44201392340151174, 0.48056651625986624, -0.35299851646005026]]
[4, [-0.8975673328565946, 0.13912968808372525, -0.27581805432700224, 0.2719399274179348, -0.1580787451418423]]
[5, [-0.7699321128155802, 0.5906610727206887, -0.22782053404178845, -0.002740071317285465, -0.08008954429806854]]
[6, [0.5248180007453439, 0.18673260908668082, 0.8150787673146274, -0.11923350617031896, -0.10548446746578773]]
[7, [-0.8815218417212815, 0.2299623955326752, 0.2425317519305846, 0.3215886599892817, 0.08829282123124765]]
[8, [-0.4932873426823664, 0.6101070250878211, -0.1495858506564806, 0.21057834403664094, -0.5636646607638459]]
[9, [-0.6998149286486679, 0.5829523464678082, 0.21477533404205013, -0.2905909580443449, 0.19963486263208596]]
